"Lista de precios","Producto","UOM","Proveedor","Precio"
"VENTA","CODO RL 90º (88,90x5,49) ASTM A 234 GB WPB PESO 2,03 3"" SCH 40","UNIDAD","","9.04"
"REVENDEDOR","CODO RL 90º (88,90x5,49) ASTM A 234 GB WPB PESO 2,03 3"" SCH 40","UNIDAD","","9.04"
"COMPRA","CODO RL 90º (88,90x5,49) ASTM A 234 GB WPB PESO 2,03 3"" SCH 40","UNIDAD","FITTINGS HAN'S PIPE","0.00"
"COMPRA","CODO RL 90º (88,90x11,13) ASTM A 234 GB WPB PESO 4,02 3"" SCH 160","UNIDAD","FITTINGS HAN'S PIPE","0.00"
"VENTA","CODO RL 90º (762,00x7,92) ASTM A 234 GB WPB PESO 278,00 30"" SCH 10","UNIDAD","","2629.80"
"REVENDEDOR","CODO RL 90º (762,00x7,92) ASTM A 234 GB WPB PESO 278,00 30"" SCH 10","UNIDAD","","2629.80"
"COMPRA","CODO RL 90º (73,00x7,01) ASTM A 234 GB WPB PESO 1,72 2 1/2"" SCH 80","UNIDAD","FITTINGS HAN'S PIPE","0.00"
"VENTA","CODO RL 90º (73,00x5,16) ASTM A 234 GB WPB PESO 1,32 2 1/2"" SCH 40","UNIDAD","","6.55"
"REVENDEDOR","CODO RL 90º (73,00x5,16) ASTM A 234 GB WPB PESO 1,32 2 1/2"" SCH 40","UNIDAD","","6.55"
"COMPRA","CODO RL 90º (73,00x5,16) ASTM A 234 GB WPB PESO 1,32 2 1/2"" SCH 40","UNIDAD","FITTINGS HAN'S PIPE","0.00"
"VENTA","CODO RL 90º (609,60x9,52) ASTM A 234 GB WPB PESO 211,37 24"" SCH STD","UNIDAD","","1442.64"
"REVENDEDOR","CODO RL 90º (609,60x9,52) ASTM A 234 GB WPB PESO 211,37 24"" SCH STD","UNIDAD","","1442.64"
"COMPRA","CODO RL 90º (609,60x9,52) ASTM A 234 GB WPB PESO 211,37 24"" SCH STD","UNIDAD","FITTINGS HAN'S PIPE","554.80"
"COMPRA","CODO RL 90º (60,30x8,74) ASTM A 234 GB WPB PESO 0,00 2"" SCH 160","UNIDAD","FITTINGS HAN'S PIPE","0.00"
"VENTA","CODO RL 90º (60,30x5,54) ASTM A 234 GB WPB PESO 0,90 2""","UNIDAD","","5.67"
"REVENDEDOR","CODO RL 90º (60,30x5,54) ASTM A 234 GB WPB PESO 0,90 2""","UNIDAD","","5.67"
"COMPRA","CODO RL 90º (60,30x5,54) ASTM A 234 GB WPB PESO 0,90 2""","UNIDAD","FITTINGS HAN'S PIPE","0.00"
"VENTA","CODO RL 90º (60,30x3,91) ASTM A 234 GB WPB PESO 0,65 2""","UNIDAD","","3.87"
"REVENDEDOR","CODO RL 90º (60,30x3,91) ASTM A 234 GB WPB PESO 0,65 2""","UNIDAD","","3.87"
"COMPRA","CODO RL 90º (60,30x3,91) ASTM A 234 GB WPB PESO 0,65 2""","UNIDAD","FITTINGS HAN'S PIPE","0.00"
"VENTA","CODO RL 90º (508,00x9,52) ASTM A 234 GB WPB PESO 142,20 20"" SCH STD","UNIDAD","","912.30"
"REVENDEDOR","CODO RL 90º (508,00x9,52) ASTM A 234 GB WPB PESO 142,20 20"" SCH STD","UNIDAD","","912.30"
